timestamp,scheduler_type,num_requests,num_gpus,k_bins,actual_rps,rps_scaling,d_sla_token,d_sla_request,sla_violation_rate_token,sla_violation_rate_request,sla_violations_token,sla_violations_request,sla_violation_rate,throughput_requests_per_sec,throughput_tokens_per_sec,capacity_qps_under_sla,avg_tbt_ms,p95_tbt_ms,p99_tbt_ms,max_tbt_ms,avg_latency,p50_latency,p95_latency,p99_latency,max_latency,avg_queueing_delay,avg_service_time,avg_gpu_utilization,min_gpu_utilization,max_gpu_utilization,num_batches,avg_batch_size,min_batch_size,max_batch_size,total_time,total_tokens,num_completed,execution_time_seconds,status,method_label
2025-11-30 00:49:43,static_fifo,1000,1,1,4.055314489638671,200.0,0.03,20.0,0.257,0.991,257,991,0.257,0.5683717596550852,445.069190115511,0.4223002174237283,24.200594044809208,39.335079282817425,46.540494283911876,159.6239610416659,688.9837261826093,654.4603489262317,1457.0055871299976,1501.8245853959572,1513.051833914562,674.9401966289026,14.04352955370664,1.0,1.0,1.0,126,7.936507936507937,1,8,1759.4118339145618,783060,1000,0.3095715045928955,success,Static_FIFO_1GPU
2025-11-30 00:49:43,dynamic_no_bins,1000,1,1,4.055314489638671,200.0,0.03,20.0,0.128,0.944,128,944,0.128,1.4156336564794336,1108.5260910427853,1.234432548450066,22.33546021397587,31.24023642848661,31.37200489175226,159.6239610416659,254.17465982425702,282.39283738958693,451.638539242363,459.8535464176835,460.4874464176835,235.76912692123946,18.405532903017544,0.9647843903951043,0.9647843903951043,0.9647843903951043,46,21.73913043478261,1,46,706.3974464176835,783060,1000,0.03198599815368652,success,Dynamic_NoBins_1GPU
2025-11-30 00:49:43,multi_bin_dynamic,1000,1,4,4.055314489638671,200.0,0.03,20.0,0.052,0.952,52,952,0.052,1.6943834214354587,1326.8038819892502,1.6062754835208148,15.271030213293527,30.25382193868562,37.30489675332345,159.6239610416659,166.7896495357862,175.6569106022804,347.76592857281344,359.15641558633985,362.81806558633986,154.19066674323005,12.598982792556138,0.9647703436369085,0.9647703436369085,0.9647703436369085,46,21.73913043478261,1,93,590.1851891072055,783060,1000,0.0658884048461914,success,MultiBin_Dynamic_1GPU_K4
2025-11-30 00:49:43,multi_bin_dynamic,1000,1,8,4.055314489638671,200.0,0.03,20.0,0.043,0.949,43,949,0.043,1.79975973600375,1409.3198588750965,1.7223700673555888,13.758055613116072,29.83132836959859,33.15722670447303,159.6239610416659,164.30624590201816,162.91695477380858,315.3644850784296,330.68232100955834,339.43472100955836,152.60611592214929,11.700129979868862,0.9874577632774064,0.9874577632774064,0.9874577632774064,49,20.408163265306122,1,87,555.6297210095584,783060,1000,0.05230259895324707,success,MultiBin_Dynamic_1GPU_K8
2025-11-30 00:49:44,multi_bin_dynamic,1000,32,8,4.055314489638671,200.0,0.03,20.0,0.177,0.014,177,14,0.177,3.912306648320998,3063.5708440342405,3.2198283715681812,22.538432153414167,53.499517581558784,114.25344511126346,592.7548232559777,6.983911359841142,5.8095680069912135,17.271178296013982,20.518079366939755,22.963997312112497,0.46563916536830013,6.518272194472842,0.3811783532358334,0.22578621505033128,0.6632321999418537,547,1.8281535648994516,1,22,255.60368598130188,783060,1000,0.05644416809082031,success,MultiBin_Optimal_32GPU_K8
2025-11-30 00:49:44,static_fifo,10000,1,1,6.290831427735647,200.0,0.03,20.0,0.3688,0.9991,3688,9991,0.3688,0.5541140440238608,476.5287687445807,0.34975678458786097,27.775578446920726,44.41307979491261,62.32541494146993,279.0469940563761,8240.313378746841,8193.788839987767,15537.356124660035,16323.88141863465,16457.78647525423,8225.879423843428,14.433954903415664,1.0,1.0,1.0,1251,7.9936051159072745,1,8,18046.82647525423,8599832,10000,0.21370291709899902,success,Static_FIFO_1GPU
2025-11-30 00:49:44,dynamic_no_bins,10000,1,1,6.290831427735647,200.0,0.03,20.0,0.1978,0.9944,1978,9944,0.1978,1.7980977679128205,1546.3338723625245,1.4424340294196645,25.005556351608558,36.019801979889415,45.069876132508185,159.6239610416659,2117.8415042869865,2103.121766054553,3729.152769687822,3928.9821914302565,3973.5228533468508,2099.060472637152,18.781031649834762,0.9955270130279519,0.9955270130279519,0.9955270130279519,302,33.11258278145695,1,50,5561.432853346851,8599832,10000,0.4338369369506836,success,Dynamic_NoBins_1GPU
2025-11-30 00:49:45,multi_bin_dynamic,10000,1,4,6.290831427735647,200.0,0.03,20.0,0.0652,0.9952,652,9952,0.0652,2.232219495048618,1919.6712644542947,2.0866787839714482,16.52467838694085,31.121037744798763,38.279096385885886,159.6239610416659,1294.1649581362221,724.0847850134223,2996.6079911988254,3058.7029359694084,3068.910511782514,1281.1235966217366,13.04136151448564,0.9953587644483127,0.9953587644483127,0.9953587644483127,281,35.587188612099645,1,125,4479.846189938503,8599832,10000,0.43686366081237793,success,MultiBin_Dynamic_1GPU_K4
2025-11-30 00:49:45,multi_bin_dynamic,10000,1,8,6.290831427735647,200.0,0.03,20.0,0.0555,0.9949,555,9949,0.0555,2.332368690249511,2005.7978898205836,2.2029222279406633,15.234099693872816,31.003333592586973,37.944275163145576,159.6239610416659,1231.6272325945768,987.2201198188809,2630.8123968496243,2741.8202221947836,2807.7828886453362,1219.5542139453803,12.073018649196628,0.9983746096963791,0.9983746096963791,0.9983746096963791,288,34.72222222222222,1,122,4287.486811928617,8599832,10000,0.43786144256591797,success,MultiBin_Dynamic_1GPU_K8
2025-11-30 00:49:45,multi_bin_dynamic,10000,32,8,6.290831427735647,200.0,0.03,20.0,0.2127,0.0176,2127,176,0.2127,6.238515813022477,5365.018792133672,4.911583499592596,25.049103282647366,54.132143355722796,176.70266104459822,1692.7193798684168,7.840929816143935,6.572678944855284,17.812424239989564,21.130850743375095,28.073639365286226,0.5383526106820499,7.302577205461886,0.5977160057264518,0.477887574841544,0.7293899547858071,4828,2.071251035625518,1,26,1602.9453638837751,8599832,10000,0.4057917594909668,success,MultiBin_Optimal_32GPU_K8
