timestamp,scheduler_type,num_requests,num_gpus,use_real_timestamps,rps_scaling,d_sla,k_bins,sla_violation_rate,capacity_qps_under_sla,throughput_requests_per_sec,throughput_tokens_per_sec,avg_latency,p50_latency,p95_latency,p99_latency,max_latency,avg_queueing_delay,avg_service_time,avg_gpu_utilization,min_gpu_utilization,max_gpu_utilization,num_batches,avg_batch_size,min_batch_size,max_batch_size,total_time,total_tokens,num_completed,execution_time_seconds,status,error
2025-11-24 20:12:52,dynamic_no_bins,1000,1,False,200.0,1.0,1.0,0.696,1.2288560561187516,4.042289658285367,3165.3553398169397,3.447039027456731,1.677348022727287,11.262948845454586,12.037984445454617,12.264130045454607,2.7013167274567307,0.7457223000000002,0.48192462094134125,0.48192462094134125,0.48192462094134125,251.0,3.9840637450199203,1.0,16.0,247.384548,783060.0,1000.0,0.014228105545043945,success,
2025-11-24 20:12:52,multi_bin_dynamic,1000,1,False,200.0,1.0,8.0,0.686,1.2148361565443537,3.8689049571476235,3029.584715744018,3.5197721749545634,1.7120008518978977,24.98347496553417,34.31461496553408,35.90282896553407,3.1163982349545645,0.4033739399999989,0.5272710385381943,0.5272710385381943,0.5272710385381943,369.0,2.710027100271003,1.0,16.0,258.4710689655341,783060.0,1000.0,0.02425694465637207,success,
2025-11-24 20:12:52,multi_bin_dynamic,1000,2,False,200.0,1.0,8.0,0.327,2.722103855421258,4.044730840150457,3167.266931688217,1.033057648380927,0.656389761904677,3.691553342857145,7.632694735714063,9.56862671428567,0.697935148380929,0.335122499999998,0.3685995265268894,0.36110646724648987,0.3760925858072889,596.0,1.6778523489932886,1.0,9.0,247.23524,783060.0,1000.0,0.027372360229492188,success,
2025-11-24 20:12:53,multi_bin_dynamic,1000,4,False,200.0,1.0,8.0,0.036,3.9042297307093996,4.050030840984854,3171.4171503416,0.3321748399999968,0.25824999999998965,0.9066999999999493,1.1948595000000521,1.8618199999999376,0.06036235999999803,0.2718124799999988,0.23205660161102132,0.18968773047206766,0.2526443258865416,897.0,1.1148272017837235,1.0,6.0,246.9117,783060.0,1000.0,0.03063511848449707,success,
2025-11-24 20:12:53,static_fifo,10000,1,False,200.0,1.0,1.0,0.9101,0.5639415620919684,6.272987342513553,5394.663728374301,24.96845987675699,18.485512142857175,72.0513135714286,76.20070447142885,78.4675635714288,24.19159506275699,0.7768648140000006,0.7106042091358821,0.7106042091358821,0.7106042091358821,1723.0,5.803830528148578,1.0,8.0,1594.1368050000005,8599832.0,10000.0,0.2649118900299072,success,
2025-11-24 20:12:53,dynamic_no_bins,10000,1,False,200.0,1.0,1.0,0.8198,1.1284739571980902,6.262341604872865,5385.5085728517015,4.484418881226862,2.9972985710955413,12.405127632662087,16.668897598856965,17.975950627428347,3.6744654892268604,0.8099533920000015,0.6568558880954202,0.6568558880954202,0.6568558880954202,1796.0,5.567928730512249,1.0,36.0,1596.8467756883115,8599832.0,10000.0,0.1502993106842041,success,
2025-11-24 20:12:53,multi_bin_dynamic,10000,1,False,200.0,1.0,8.0,0.7652,1.4594629792272584,6.215770780354593,5345.458446155841,20.939722030459844,1.9123256060707945,158.80662321213947,187.51307551916392,222.6384329088172,20.50549864045984,0.4342233900000015,0.8664827054929242,0.8664827054929242,0.8664827054929242,3320.0,3.0120481927710845,1.0,28.0,1608.8109348571452,8599832.0,10000.0,0.29501962661743164,success,
2025-11-24 20:12:54,multi_bin_dynamic,10000,2,False,200.0,1.0,8.0,0.3948,3.80553404130687,6.288060213659732,5407.626144335781,3.2961402462286,0.8087900930732985,24.89912040329705,45.33699215809466,51.34960587812179,2.9234152422285975,0.37272500400000297,0.5827942705631384,0.5814691526132947,0.5841193885129822,5528.0,1.808972503617945,1.0,16.0,1590.3155600000005,8599832.0,10000.0,0.255415678024292,success,
2025-11-24 20:12:54,multi_bin_dynamic,10000,4,False,200.0,1.0,8.0,0.0482,5.986279482646582,6.289430009084453,5408.804145388477,0.396050229571432,0.3195699999999704,0.9858450000001476,1.481854659999942,4.161331999999902,0.09365067957142999,0.302399550000002,0.3850218289044294,0.3819739404835178,0.391853011995451,8565.0,1.1675423234092235,1.0,12.0,1589.9692,8599832.0,10000.0,0.2553236484527588,success,
2025-11-24 20:12:56,static_fifo,100000,1,False,200.0,1.0,1.0,0.97826,0.2624426662940481,12.07187977433524,7508.829696996668,1283.3010244411919,681.7616350001058,3862.265365000261,4009.8261200002744,4050.1640420002796,1282.745484602592,0.5555398386000223,0.8856982133446274,0.8856982133446274,0.8856982133446274,13655.0,7.3233247894544125,1.0,8.0,8283.71404200028,62200998.0,100000.0,2.3125052452087402,success,
