workload,gpus,bins,p95_latency,throughput,gpu_util
1000,1,2,1.3811108878013283,3168.689562788337,0.3848743879840716
1000,2,2,0.77888334047618,3172.0141390506883,0.2727331425984554
1000,4,2,0.4929999999999964,3173.5237355713,0.1630130791150201
1000,8,2,0.4545299999999925,3173.5237355713,0.0844039946860722
1000,16,2,0.4545299999999925,3173.5237355713,0.042201997343036
1000,32,2,0.4545299999999925,3173.5237355713,0.021100998671518
1000,64,2,0.4545299999999925,3173.5237355713,0.010550499335759
1000,100,2,0.4545299999999925,3173.5237355713,0.0067523195748857
10000,1,2,1.4034484015651512,5407.809360072514,0.5824109797815514
10000,2,2,0.8064725119046555,5409.000097867077,0.4419555479885298
10000,4,2,0.5080062500000394,5409.455333946668,0.2736907944532121
10000,8,2,0.4628000000000156,5409.455333946668,0.1428892499945588
10000,16,2,0.4626000000000658,5409.455333946668,0.0715495586867547
10000,32,2,0.4626000000000658,5409.455333946668,0.0357747793433773
10000,64,2,0.4626000000000658,5409.455333946668,0.0178873896716886
10000,100,2,0.4626000000000658,5409.455333946668,0.0114479293898807
100000,1,2,392.3538972431722,12674.920455687105,0.6882568035081991
100000,2,2,161.89572628809935,13790.916003948332,0.5287266377699331
100000,4,2,58.44383972591627,14381.844783527928,0.3392974453889655
100000,8,2,12.204191109046125,14655.521723049447,0.1874118092160641
100000,16,2,0.9077819296031976,14689.665171801444,0.1073664440078637
100000,32,2,0.8203007500002967,14689.881572122176,0.0674967646819061
100000,64,2,0.6571999999996934,14690.135597128468,0.0435992197296302
100000,100,2,0.6445999999996275,14690.144478795424,0.0314933093969609
1000000,1,2,5101.8895685778025,41443.93846327096,0.9165855676284176
1000000,2,2,1378.915741629355,44325.327483591616,0.7027162427031132
1000000,4,2,130.75520624041565,44325.35264065272,0.4874463553765658
1000000,8,2,20.71490526647267,44325.45045741147,0.3427181407484459
1000000,16,2,1.1789977013419954,44325.54200980872,0.2560297465154316
1000000,32,2,,,
1000000,64,2,,,
1000000,100,2,,,
